Index to Yves Martin's list of 74 multiplicative eta-quotients and their A-numbers
==================================================================================
From Michael Somos, Mar 26 2016

Number, Weight, Definition, A-number 
1, Y1A, [1,24], A000594
2, Y2A, [1,8;2,8], A002288
3, Y3A, [1,-3;3,9], A106402
4, Y3B, [1,9;3,-3], A109041
5, Y3C, [1,6;3,6], A007332
6, Y4A, [1,-4;2,10;4,-4], A004018
7, Y4B, [1,-4;2,6;4,4], A050470
8, Y4C, [1,4;2,6;4,-4], A120030
9, Y4D, [2,12], A000735
10, Y4E, [1,4;2,2;4,4], A030212
11, Y5A, [1,-1;5,5], A053723
12, Y5B, [1,5;5,-1], A109064
13, Y5C, [1,4;5,4], A030210
14, Y6A, [1,2;2,2;3,2;6,2], A030209
15, Y7A, [1,3;7,3], A002656
16, Y8A, [2,4;4,4], A030211
17, Y8B, [1,-2;2,3;4,3;8,-2], A033715
18, Y8C, [1,-2;2,3;4,1;8,2], A124340
19, Y8D, [1,2;2,1;4,3;8,-2], A131999
20, Y8E, [1,2;2,1;4,1;8,2], A030207
21, Y9A, [1,3;3,-2;9,3], A106401
22, Y9B, [3,8], A000731
23, Y11A, [1,2;11,2], A006571
24, Y12A, [1,-2;2,2;3,2;4,1;12,1], A124815
25, Y12B, [1,1;3,1;4,2;6,2;12,-2], A109039
26, Y12C, [1,2;3,-2;4,1;6,2;12,1], A113421
27, Y12D, [1,1;2,2;3,1;4,-2;12,2], A209613
28, Y12E, [2,3;6,3], A030208
29, Y14A, [1,1;2,1;7,1;14,1], A030187
30, Y15A, [1,2;3,-1;5,-1;15,2], A106406
31, Y15B, [1,-1;3,2;5,2;15,-1], A123864
32, Y15C, [1,1;3,1;5,1;15,1], A030184
33, Y16A, [2,4;4,-4;8,4], A121613
34, Y16B, [2,-4;4,16;8,-4], A134461
35, Y16C, [2,-12;4,36;8,-12], A209676
36, Y16D, [4,6], A000729
37, Y20A, [1,1;2,1;4,-1;5,-1;10,1;20,1], A111949
38, Y20B, [1,-1;2,1;4,1;5,1;10,1;20,-1], A124233
39, Y20C, [2,2;10,2], A030205
40, Y23A, [1,1;23,1], A030199
41, Y24A, [1,1;3,-1;4,1;6,1;8,-1;24,1], A115660
42, Y24B, [1,-1;2,1;3,1;8,1;12,1;24,-1], A000377
43, Y24C, [2,1;4,1;6,1;12,1], A030188
44, Y27A, [3,2;9,2], A030206
45, Y32A, [2,2;4,-1;8,-1;16,2], A125095
46, Y32B, [2,-2;4,9;8,-5;16,2], A113419
47, Y32C, [2,2;4,-5;8,9;16,-2], A209940
48, Y32D, [2,-2;4,5;8,5;16,-2], A128711
49, Y32E, [4,2;8,2], A002171
50, Y36A, [1,1;2,-1;3,-2;4,1;6,4;9,1;12,-2;18,-1;36,1], A129448
51, Y36B, [6,4], A000727
52, Y44A, [2,1;22,1], A030200
53, Y48A, [2,1;4,-1;6,1;8,1;12,-1;24,1], A129449
54, Y48B, [2,-1;4,4;6,-1;8,-1;12,4;24,-1], A159819
55, Y48C, [2,-3;4,9;6,-3;8,-3;12,9;24,-3], A209939
56, Y63A, [3,1;21,1], A002655
57, Y64A, [4,2;8,-2;16,2], A134343
58, Y64B, [4,-2;8,8;16,-2], A138515
59, Y64C, [4,-6;8,18;16,-6], A209941
60, Y64D, [4,-14;8,38;16,-14], A209942
61, Y80A, [2,-2;4,6;8,-2;10,-2;20,6;40,-2], A159817
62, Y80B, [4,1;20,1], A030202
63, Y96A, [2,1;4,-3;6,-1;8,4;12,4;16,-1;24,-3;48,1], A190615
64, Y96B, [2,-1;4,4;6,1;8,-3;12,-3;16,1;24,4;48,-1], A134177
65, Y108A, [6,1;18,1], A030203
66, Y128A, [8,1;16,1], A030204
67, Y144A, [6,-4;12,12;24,-4], A187076
68, Y144B, [12,2], A002107
69, Y176A, [2,-1;4,3;8,-1;22,-1;44,3;88,-1], A208664
70, Y256A, [8,-1;16,4;32,-1], A138514
71, Y320A, [4,-1;8,3;16,-1;20,-1;40,3;80,-1], A159818
72, Y432A, [6,-1;12,3;18,-1;24,-1;36,3;72,-1], A208978
73, Y576A, [12,-2;24,6;48,-2], A208845
74, Y576B, [4,-2;8,5;12,2;16,-2;24,-4;36,-2;48,2;72,5;144,-2], A208955
